,year,model,config,mileage,drivetrain,transmission,ext_color,int_color,price,owners,ori_price,good_deal_margin,deal,hotornot,sellin,carfax,dealer,dealer_rating,dealer_review_number,dealer_zipcode,consumer_rating,consumer_review_number,vin
874,2016,Model S,85D,38191,AWD,Automatic,Gray,Black,50989,1,,52611.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Auto Centrix,5.0,6.0,75006.0,4.8,27,5YJSA1E24GF125889
875,2017,Model S,100D,6131,AWD,Automatic,Blue,Black,79999,1,,91535.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Northwest Motorsport - Puyallup,4.9,12245.0,98371.0,4.7,25,5YJSA1E26HF187750
876,2015,Model S,85D,41596,AWD,Automatic,Blue,Black,48000,1,,51178.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Carswap,4.8,60.0,57104.0,4.8,41,5YJSA1H25FF096770
877,2016,Model S,P100D,6768,AWD,Automatic,Black,Black,98995,more than 1,,99586.0,Good,NOT HOT,,Free CARFAX Report,The Porsche Exchange,4.9,48.0,60035.0,4.8,27,5YJSA1E46GF158748
878,2018,Model X,100D,14888,AWD,Automatic,Silver,Black,86975,1,,89910.0,Good,HOT CAR,5.0,Free CARFAX 1-Owner Report,BMW of Cape Cod,4.9,505.0,2601.0,5.0,5,5YJXCDE21JF090494
879,2016,Model S,70D,45198,AWD,Automatic,Blue,Gray,44981,1,,48036.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,MemberCar,4.8,164.0,20850.0,4.8,27,5YJSA1E27GF130083
880,2015,Model S,P85D,26966,AWD,Automatic,Red,Black,55967,1,,60625.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Manheim Imports,4.9,155.0,17545.0,4.8,41,5YJSA1H43FF095148
881,2016,Model S,75,35305,RWD,Automatic,White,Beige,53988,1,,55526.0,Good,HOT CAR,7.0,Free CARFAX 1-Owner Report,iDeal Motors,5.0,28.0,92627.0,4.8,27,5YJSA1E18GF139253
882,2018,Model 3,Long Range Battery AWD,3241,AWD,Automatic,Black,Black,51900,1,,54983.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Gold Coast Motors,5.0,43.0,60540.0,4.5,69,5YJ3E1EB6JF127210
883,2018,Model 3,Long Range,6932,RWD,Automatic,White,Other,48572,1,,52952.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Ryan Ford,4.9,1523.0,77474.0,4.5,69,5YJ3E1EAXJF035167
884,2017,Model S,75D,24319,RWD,Automatic,Silver,Other,53273,1,,57286.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Hyundai of Petaluma,5.0,14.0,94952.0,4.7,25,5YJSA1E12HF206561
885,2017,Model S,75,15843,RWD,Automatic,Black,Black,50995,1,,55135.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,San Diego Auto Finder,5.0,6.0,92111.0,4.7,25,5YJSA1E19HF200076
886,2013,Model S,Performance,22973,RWD,Automatic,Blue,Beige,42995,1,,46763.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Munich Motors,5.0,8.0,85013.0,4.9,47,5YJSA1DP1DFP15573
887,2015,Model S,85D,30358,AWD,Automatic,White,Other,47596,1,,51597.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,"Certified Autoplex, Inc.",4.8,1330.0,75006.0,4.8,41,5YJSA1H23FF089817
888,2014,Model S,P85D,13875,AWD,Automatic,Gray,Black,54900,more than 1,,60263.0,Good,NOT HOT,,Free AutoCheck Report,Wickstrom Auto Group,5.0,1347.0,60010.0,4.9,33,5YJSA1H21EFP64319
889,2013,Model S,Base,35231,RWD,Automatic,White,Black,36815,1,,39019.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Indy Auto Imports,4.8,207.0,46052.0,4.9,47,5YJSA1ACXDFP10194
892,2015,Model S,85,47048,RWD,Automatic,Gray,Gray,44988,1,,51516.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,iDeal Motors,5.0,28.0,92627.0,4.8,41,5YJSA1E19FF109242
893,2015,Model S,85D,46518,AWD,Automatic,Silver,Beige,48777,1,,49378.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,iDeal Motors,5.0,28.0,92627.0,4.8,41,5YJSA1H22FF093521
