"","hotornot","year","config","drivetrain","mileage.x","ext_color","int_color","price.x","good_deal_margin","deal","dealer","dealer_rating","dealer_review_number","consumer_rating","consumer_review_number","fleet","hasAccidents","daysOnMarket","ownerCount"
"16","NOT HOT",2013,"Base","RWD",26805,"Black","Black",35995,36578,"Good","Nissan of New Rochelle",4.7,361,4.9,47,"False","False",43,1
"17","NOT HOT",2013,"Base","RWD",154214,"White","Black",27500,29476,"Good","House of Imports",4.7,618,4.9,47,"True","False",71,4
"18","NOT HOT",2013,"Base","RWD",15559,"White","Black",43995,41440,"Fair","O.C. AUTOHAUS",4.3,67,4.9,47,"False","False",294,3
"19","NOT HOT",2013,"Base","RWD",71350,"Other","Other",32991,35162,"not_rating","Audi of Downtown L.A.",4.7,119,4.9,47,"False","True",2,3
"20","NOT HOT",2013,"Base","RWD",63810,"Blue","Beige",31990,35394,"Good","Sheehy Hyundai of Waldorf",4.2,112,4.9,47,"False","False",16,3
"21","NOT HOT",2013,"Base","RWD",41677,"Silver","Beige",34900,35971,"Good","Mazda of Orange",4.8,1112,4.9,47,"True","False",134,1
"22","NOT HOT",2013,"Base","RWD",94420,"Gray","Black",29900,31886,"Good","Austin Direct Auto Sales",2.3,62,4.9,47,"False","False",144,1
"23","NOT HOT",2013,"Base","RWD",79278,"Red","Other",29555,33378,"Good","Sam Jidd Luxury LLC",3.9,7,4.9,47,"True","False",162,1
"24","NOT HOT",2013,"Base","RWD",41335,"White","Beige",34970,35741,"Good","Virginia Luxury Motors",2.3,6,4.9,47,"True","False",43,2
"25","NOT HOT",2013,"Base","RWD",79197,"Blue","Other",31372,33544,"Good","Midwest Automotive Connection",4.3,95,4.9,47,"False","False",36,1
"26","NOT HOT",2013,"Base","RWD",67345,"White","Beige",33500,34911,"Good","Ganley Subaru of Bedford",4.9,315,4.9,47,"False","True",33,2
"27","HOT CAR",2013,"Base","RWD",44430,"Black","Gray",34900,37295,"Good","Auto Merchants Inc.",3.7,98,4.9,47,"False","False",10,2
"28","NOT HOT",2013,"Base","RWD",89910,"Green","Black",29991,31953,"Good","Nxcess Motorcars",2,106,4.9,47,"False","False",131,1
"29","NOT HOT",2013,"","RWD",39505,"Black","Gray",36995,37466,"Good","Maximum Auto Outlet",2.6,363,4.9,47,"False","False",357,1
"30","NOT HOT",2013,"Base","RWD",34970,"Gray","Gray",31995,36505,"Good","Highline Auto Sales",4.6,272,4.9,47,"False","False",8,1
"31","NOT HOT",2013,"Base","RWD",43161,"Silver","Black",34915,36332,"Good","San Diego Auto Finder",5,6,4.9,47,"True","False",35,1
"32","NOT HOT",2013,"Base","RWD",45202,"Gray","Gray",36995,35131,"Fair","Imperial Highline",4.6,29,4.9,47,"True","True",335,1
"33","NOT HOT",2013,"Base","RWD",31948,"Black","Gray",34877,36525,"Good","Autos Direct of Fredericksburg - Lafayette",3.4,66,4.9,47,"False","False",177,1
"34","NOT HOT",2013,"Base","RWD",37000,"Silver","Beige",59990,51836.0835579515,"not_rating","Atlanta Fine Cars",4.4,32,4.9,47,"False","True",194,2
"35","NOT HOT",2013,"Base","RWD",50846,"Brown","Black",34995,36366,"Good","Black Label Auto Firm",4,4,4.9,47,"False","False",11,2
"36","NOT HOT",2013,"Base","RWD",9508,"White","Black",38957,43216,"Good","Jaguar Land Rover Treasure Coast",4.9,146,4.9,47,"False","False",155,1
"37","NOT HOT",2013,"Base","RWD",89001,"Silver","Black",30999,29076,"Fair","Las Vegas Auto Sport",3.4,10,4.9,47,"False","False",44,1
"38","NOT HOT",2013,"Base","RWD",37147,"Red","Black",35995,51836.0835579515,"not_rating","Import Auto, Ltd.",5,1,4.9,47,"False","False",334,2
